Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
KU,100104,Male,Unknown,1955,10,29,-97.1923906,37.3585206,6751,,Melanerpes,carolinus,90.5
KU,100482,Male,Unknown,1965,6,13,-121.9133377,41.4968264,11097,,Picoides,villosus,72.8
KU,101412,Male,Unknown,1968,12,31,-110.6964759,32.3356308,655,,Picoides,stricklandi,48.8
KU,101426,Male,Unknown,1969,1,18,-110.77265,31.80078,3215,,Sphyrapicus,varius,50.8
KU,101430,Male,Unknown,1969,1,21,-112.7387586,32.2396468,4647,,Melanerpes,uropygialis,73.2
KU,104611,Male,Unknown,1968,7,11,-87.6248932,45.0335017,4354,,Colaptes,auratus,114
KU,104625,Male,Unknown,1968,9,25,-75.7092226,41.4316911,109,,Dryocopus,pileatus,284
KU,85123,Male,Unknown,1989,3,,-95.2775574,38.9828978,7252,,Melanerpes,carolinus,77.7
KU,132207,Male,Unknown,2016,1,29,-8.581,3.272,,,Campethera,nivosa,36.1
KU,131170,Male,Unknown,2014,2,23,-90.849,38.529,,,Dryocopus,pileatus,295
KU,131211,Male,Unknown,2013,5,23,-120.397,35.26,,,Picoides,nuttallii,34
KU,131213,Male,Unknown,2013,5,23,-120.397,35.26,,,Picoides,nuttallii,36
KU,126232,Male,Unknown,1998,3,14,-90.2,18.2333333,,,Melanerpes,aurifrons,86
KU,127677,Male,Unknown,2008,4,20,-88.0085,13.1631,,,Melanerpes,aurifrons,85
KU,128760,Male,Unknown,2012,6,13,-109.158,33.811,,,Colaptes,auratus,138
KU,128778,Male,Unknown,2012,6,4,-112.893,32.343,,,Colaptes,chrysoides,105
KU,131209,Male,Unknown,2013,6,10,-112.224,33.3,,,Picoides,scalaris,32
KU,131267,Male,Unknown,2013,6,17,-110.866,33.293,,,Picoides,villosus,61.5
KU,32687,Male,Unknown,1955,6,25,-156.8166667,71.2833333,,,Colaptes,auratus,136.4
KU,32690,Male,Unknown,1955,6,25,-156.8166667,71.2833333,,,Colaptes,auratus,126.2
