Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
CAS,85501,Unknown,Adult,1995,1,12,-122.59576,37.9466,,,Melanerpes,formicivorus,66.5
CAS,70758,Unknown,Adult,1980,6,22,-122.80032,38.04111,,,Sphyrapicus,thyroideus,27.8
MVZ,83436,Female,Unknown,1941,6,8,-122.357,44.7554,63582,,Picoides,villosus,64.8
CAS,89636,Female,Adult,2001,9,10,97.9185,27.44133,,,Sasia,ochracea,9.6
CRCM,54-168,Female,Adult,1954,7,7,-117.305544,46.287589,1500,,Melanerpes,lewis,113.5
CRCM,62-40,Female,Adult,1962,1,7,-117.411877,47.78061,2000,,Sphyrapicus,ruber,72.2
CRCM,54-189,Female,Adult,1954,7,9,-117.43684,46.135899,200,,Sphyrapicus,thyroideus,43.5
CRCM,54-215,Female,Adult,1954,7,14,-117.678523,46.250425,100,,Sphyrapicus,nuchalis,47.3
CRCM,75-338,Female,Adult,1954,7,9,-117.43684,46.135899,200,,Sphyrapicus,thyroideus,50
MSB,25543,Female,Adult,2006,9,5,-105.9350204,35.6868439,8047,,Sphyrapicus,thyroideus,50.5
MSB,26388,Female,Adult,2007,9,12,-105.9350204,35.6868439,8047,,Sphyrapicus,thyroideus,59.5
MSB,26414,Female,Adult,2007,12,9,-106.3809833333,35.0620333333,20,,Sphyrapicus,thyroideus,50.2
MSB,26411,Female,Adult,2007,9,11,-106.1917877,35.0609149,7348,,Colaptes,auratus,112.5
MSB,26702,Female,Adult,2008,1,23,-105.9801786,35.5225354,58480,,Colaptes,auratus,147
MSB,26715,Female,Adult,2008,3,17,-104.7907666667,32.0359833333,6,,Picoides,villosus,51.4
MSB,26316,Female,Adult,8888,10,6,-106.3991333333,34.6668333333,150,,Picoides,villosus,55.4
MSB,26223,Female,Adult,8888,10,3,-109.3221666667,31.9428333333,200,,Sphyrapicus,nuchalis,41.4
MSB,26647,Female,Adult,8888,10,9,-106.3655815,35.16782,5063,,Sphyrapicus,nuchalis,41.4
MSB,26623,Female,Adult,2007,9,14,-106.1184333333,40.52535,,,Picoides,villosus,62.7
UAM,15188,Female,Adult,2001,6,28,-132.8,55.55,100000,,Picoides,villosus,69.8
UAM,23754,Female,Adult,2006,4,7,-134.555,58.3449,100000,,Sphyrapicus,ruber,53
UAM,30876,Female,Adult,2012,6,1,-147.8043,64.857,100000,,Colaptes,auratus,146.9
UAM,31832,Female,Adult,2013,7,2,-152.406,57.79,100000,,Picoides,tridactylus,56
UAM,8112,Female,Adult,1998,6,8,-132.3,53.37,100000,,Sphyrapicus,ruber,55
UAM,9048,Female,Adult,1999,5,19,-147.8043,64.857,100000,,Sphyrapicus,varius,43.3
UAM,10162,Female,Adult,1999,6,18,-132.3,53.37,100000,,Sphyrapicus,ruber,55.3
UAM,13513,Female,Adult,2001,6,25,-131.619,55.331,100000,,Sphyrapicus,ruber,54.5
UAM,22084,Female,Adult,2000,7,4,-147.8043,64.857,100000,,Colaptes,auratus,121.8
UAM,27305,Female,Unknown,2009,9,26,-147.8043,64.857,100000,,Picoides,villosus,87
CAS,70219,Female,Adult,1978,1,21,-122.8308,38.39691,,,Sphyrapicus,ruber,39.8
CAS,83833,Female,Adult,1984,2,6,-122.57803,38.40256,,,Sphyrapicus,ruber,45.9
CUMV,26081,Female,Adult,1955,6,17,-98.459716,41.170793,5392,,Colaptes,auratus,141.5
CUMV,26091,Female,Adult,1955,6,16,-100.670865,42.660515,7484,,Colaptes,auratus,153
CUMV,26116,Female,Adult,1955,6,13,-100.310389,41.903358,4925,,Colaptes,auratus,140.1999969482
CUMV,26149,Female,Adult,1955,6,12,-98.385575,40.826569,7387,,Colaptes,auratus,142.8000030518
CUMV,26153,Female,Adult,1955,6,18,-102.962338,42.846422,4120,,Colaptes,auratus,129.6000061035
CUMV,26164,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,147.6999969482
CUMV,26167,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,136.6000061035
CUMV,26172,Female,Adult,1955,6,23,-103.230095,44.152712,7674,,Colaptes,auratus,140.3999938965
CUMV,26175,Female,Adult,1955,6,22,-103.231053,44.2313,17349,,Colaptes,auratus,156.3999938965
CUMV,26180,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,154.3999938965
CUMV,26232,Female,Adult,1955,7,9,-100.902042,45.272598,5746,,Colaptes,auratus,130.6000061035
CUMV,26234,Female,Adult,1955,7,9,-100.902042,45.272598,5746,,Colaptes,auratus,142.8999938965
CUMV,26236,Female,Adult,1955,7,10,-100.902042,45.272598,5746,,Colaptes,auratus,132.3999938965
CUMV,26237,Female,Adult,1955,7,11,-100.902042,45.272598,5746,,Colaptes,auratus,138.6000061035
CUMV,26280,Female,Adult,1955,7,15,-100.33744,45.651627,5762,,Colaptes,auratus,140.5
CUMV,26297,Female,Adult,1955,7,3,-101.964944,44.505272,4394,,Colaptes,auratus,130.1000061035
CUMV,26300,Female,Adult,1955,7,5,-102.406277,45.797539,10896,,Colaptes,auratus,135.3000030518
CUMV,26307,Female,Adult,1955,7,12,-101.176396,44.68895,4314,,Colaptes,auratus,147.6000061035
CUMV,26309,Female,Adult,1955,7,12,-101.176396,44.68895,4314,,Colaptes,auratus,138
CUMV,27880,Female,Adult,1957,6,8,-97.035706,41.418285,4137,,Colaptes,auratus,128.8999938965
CUMV,27884,Female,Adult,1957,6,9,-97.035706,41.418285,4137,,Colaptes,auratus,128
CUMV,27892,Female,Adult,1956,7,13,-97.686277,41.275898,2962,,Colaptes,auratus,118
CUMV,27893,Female,Adult,1956,7,13,-97.686277,41.275898,2962,,Colaptes,auratus,142
CUMV,27897,Female,Adult,1956,7,14,-97.686277,41.275898,2962,,Colaptes,auratus,135.5
CUMV,27917,Female,Adult,1957,6,12,-97.686277,41.275898,2962,,Colaptes,auratus,137.5
CUMV,27966,Female,Adult,1956,7,9,-99.337838,40.686493,2962,,Colaptes,auratus,121.5
CUMV,27969,Female,Adult,1956,7,10,-99.337838,40.686493,2962,,Colaptes,auratus,130.5
CUMV,27977,Female,Adult,1957,6,28,-99.337838,40.686493,2962,,Colaptes,auratus,137
CUMV,27978,Female,Adult,1957,6,29,-99.337838,40.686493,2962,,Colaptes,auratus,143.5
CUMV,27980,Female,Adult,1957,6,30,-99.337838,40.686493,2962,,Colaptes,auratus,122
CUMV,28027,Female,Adult,1956,6,19,-102.183042,40.981292,7468,,Colaptes,auratus,138
CUMV,28051,Female,Adult,1957,6,22,-101.12705,41.144457,4635,,Colaptes,auratus,140
CUMV,28073,Female,Adult,1956,7,1,-102.707356,40.853691,3284,,Colaptes,auratus,138
CUMV,28076,Female,Adult,1956,7,3,-102.707356,40.853691,3284,,Colaptes,auratus,145.5
CUMV,28077,Female,Adult,1956,7,3,-102.707356,40.853691,3284,,Colaptes,auratus,140
CUMV,28078,Female,Adult,1956,7,3,-102.707356,40.853691,3284,,Colaptes,auratus,134.5
CUMV,28090,Female,Adult,1956,6,22,-103.940515,40.267982,5939,,Colaptes,auratus,150.5
CUMV,28099,Female,Adult,1956,6,22,-103.940515,40.267982,5939,,Colaptes,auratus,154
CUMV,28102,Female,Adult,1956,6,22,-103.940515,40.267982,5939,,Colaptes,auratus,154
CUMV,28104,Female,Adult,1956,6,22,-104.061168,40.350895,1900,,Colaptes,auratus,148.5
CUMV,28133,Female,Adult,1956,6,28,-104.822786,40.346603,10172,,Colaptes,auratus,145
CUMV,28139,Female,Adult,1956,6,29,-104.822786,40.346603,10172,,Colaptes,auratus,142.5
CUMV,28167,Female,Adult,1958,4,24,-76.46632,42.44127,1023,,Colaptes,auratus,120.1999969482
CUMV,28169,Female,Adult,1958,5,10,-76.46632,42.44127,1023,,Colaptes,auratus,133
CUMV,40762,Female,Adult,1957,4,18,-76.5095,42.4381,6920,,Sphyrapicus,varius,47.0999984741
CUMV,26079,Female,Adult,1955,6,17,-98.459716,41.170793,5392,,Colaptes,auratus,133.5
CUMV,26082,Female,Adult,1955,6,17,-98.459716,41.170793,5392,,Colaptes,auratus,133.3999938965
CUMV,26085,Female,Adult,1955,6,17,-98.459716,41.170793,5392,,Colaptes,auratus,140.1999969482
CUMV,26087,Female,Adult,1955,6,16,-98.459716,41.170793,5392,,Colaptes,auratus,123.9000015259
CUMV,26098,Female,Adult,1955,6,10,-98.39133,40.456467,13068,,Colaptes,auratus,142.8999938965
CUMV,26102,Female,Adult,1955,6,26,-98.676229,42.451944,3380,,Colaptes,auratus,126.5999984741
CUMV,26111,Female,Adult,1955,6,25,-98.676229,42.451944,3380,,Colaptes,auratus,144
CUMV,26121,Female,Adult,1955,6,19,-99.261592,41.763325,3107,,Colaptes,auratus,122.6999969482
CUMV,26134,Female,Adult,1955,6,22,-99.590807,42.723598,16899,,Colaptes,auratus,126
CUMV,26140,Female,Adult,1955,6,13,-98.385575,40.826569,7387,,Colaptes,auratus,142.3999938965
CUMV,26155,Female,Adult,1955,6,18,-102.962338,42.846422,4120,,Colaptes,auratus,157.8000030518
CUMV,26168,Female,Adult,1955,6,22,-103.230095,44.152712,7674,,Colaptes,auratus,141
CUMV,26173,Female,Adult,1955,6,24,-103.230095,44.152712,7674,,Colaptes,auratus,135.3999938965
CUMV,26193,Female,Adult,1955,7,10,-100.65256,43.74979,4040,,Colaptes,auratus,141.1999969482
CUMV,26196,Female,Adult,1955,7,4,-99.502575,43.738117,7371,,Colaptes,auratus,141.6999969482
CUMV,26200,Female,Adult,1955,7,3,-99.502575,43.738117,7371,,Colaptes,auratus,127
CUMV,26230,Female,Adult,1955,7,8,-100.902042,45.272598,5746,,Colaptes,auratus,128.1999969482
CUMV,26263,Female,Adult,1955,7,16,-98.178441,44.378414,5118,,Colaptes,auratus,143.1000061035
CUMV,26298,Female,Adult,1955,7,3,-101.964944,44.505272,4394,,Colaptes,auratus,139.1000061035
CUMV,26299,Female,Adult,1955,7,3,-101.964944,44.505272,4394,,Colaptes,auratus,120.5999984741
CUMV,26302,Female,Adult,1955,7,5,-102.406277,45.797539,10896,,Colaptes,auratus,135.3999938965
CUMV,26314,Female,Adult,1955,7,14,-101.176396,44.68895,4314,,Colaptes,auratus,133.6000061035
CUMV,26323,Female,Adult,1955,7,13,-101.176396,44.68895,4314,,Colaptes,auratus,142.8000030518
CUMV,26325,Female,Adult,1955,7,14,-101.176396,44.68895,4314,,Colaptes,auratus,130.1999969482
CUMV,27887,Female,Adult,1957,6,9,-97.035706,41.418285,4137,,Colaptes,auratus,150
CUMV,27894,Female,Adult,1956,7,13,-97.686277,41.275898,2962,,Colaptes,auratus,132
CUMV,27895,Female,Adult,1956,7,13,-97.686277,41.275898,2962,,Colaptes,auratus,127
CUMV,27896,Female,Adult,1956,7,13,-97.686277,41.275898,2962,,Colaptes,auratus,131.5
CUMV,27898,Female,Adult,1956,7,14,-97.686277,41.275898,2962,,Colaptes,auratus,126.5
CUMV,27919,Female,Adult,1957,6,13,-97.686277,41.275898,2962,,Colaptes,auratus,135.5
CUMV,27965,Female,Adult,1956,7,9,-99.337838,40.686493,2962,,Colaptes,auratus,138.5
CUMV,27971,Female,Adult,1956,7,11,-99.337838,40.686493,2962,,Colaptes,auratus,133.5
CUMV,28026,Female,Adult,1956,6,18,-102.183042,40.981292,7468,,Colaptes,auratus,148
CUMV,28037,Female,Adult,1956,7,6,-101.112751,41.144314,2125,,Colaptes,auratus,144
CUMV,28055,Female,Adult,1957,6,23,-101.12705,41.144457,4635,,Colaptes,auratus,139.5
CUMV,28091,Female,Adult,1956,6,22,-103.940515,40.267982,5939,,Colaptes,auratus,145
CUMV,28108,Female,Adult,1956,6,23,-103.940515,40.267982,5939,,Colaptes,auratus,143.5
CUMV,28123,Female,Adult,1956,6,26,-104.822786,40.346603,10172,,Colaptes,auratus,139
CUMV,28129,Female,Adult,1956,6,27,-104.822786,40.346603,10172,,Colaptes,auratus,141.5
CUMV,28170,Female,Adult,1958,5,10,-76.46632,42.44127,1023,,Colaptes,auratus,133
CUMV,28228,Female,Adult,1957,5,,-76.5095,42.4381,6920,,Colaptes,auratus,112.5
CUMV,36824,Female,Adult,1958,8,28,-76.48236,42.460012,,,Colaptes,auratus,137.3999938965
CUMV,53283,Female,Adult,2010,4,7,-76.509224,42.510556,,,Sphyrapicus,varius,52.8
MVZ,115402,Female,Adult,1948,3,20,-105.28528,21.53944,1993,,Dryocopus,lineatus,128.9
MVZ,115406,Female,Adult,1948,3,28,-100.601731,19.636886,5020,,Melanerpes,formicivorus,70.5
MVZ,115407,Female,Adult,1948,3,28,-100.601731,19.636886,5020,,Melanerpes,formicivorus,63.3
MVZ,115419,Female,Adult,1948,3,7,-100.9836228819,19.6181408867,16320,,Picoides,scalaris,29.1
MVZ,115421,Female,Adult,1948,4,17,-97.36,19.0694444444,6856,,Picoides,stricklandi,40
MVZ,117135,Female,Adult,1949,6,29,-120.7617707,41.8993424,2048,,Sphyrapicus,ruber,45.5
MVZ,117147,Female,Adult,1949,7,3,-120.7617707,41.8993424,2048,,Sphyrapicus,"nuchalis,  ruber",46
MVZ,124377,Female,Adult,1951,7,13,-83.4384,31.5994,4368,,Melanerpes,carolinus,65.6
MVZ,124379,Female,Adult,1951,7,1,-84.4794,31.1899,9254,,Picoides,pubescens,20
MVZ,124382,Female,Adult,1951,8,27,-82.2874,31.2133,10987,,Picoides,pubescens,22
MVZ,126113,Female,Adult,1952,7,26,-98.67,20.5783333333,25447,,Melanerpes,aurifrons,67
MVZ,126114,Female,Adult,1952,8,23,-99.9536111111,16.8969444444,1163,,Melanerpes,chrysogenys,71
MVZ,129301,Female,Adult,1953,6,19,-119.550838,38.328665,1610,,Picoides,albolarvatus,56
MVZ,145788,Female,Adult,1926,11,27,-121.8874757,39.362006,3760,,Picoides,pubescens,23.5
MVZ,145803,Female,Adult,1927,5,8,-120.64307,37.053124,6007,,Picoides,nuttallii,44
MVZ,148310,Female,Adult,1962,6,20,-114.005,38.87472,19338,,Picoides,villosus,56.8
MVZ,155241,Female,Adult,1965,4,26,-95.0608333333,18.5408333333,8569,,Melanerpes,aurifrons,68.2
MVZ,156459,Female,Adult,1964,6,8,-77.75,-6.916666667,8606,,Colaptes,rupicola,173.9
MVZ,156461,Female,Adult,1964,10,14,-77.75,-6.916666667,8606,,Colaptes,rupicola,183
MVZ,156464,Female,Adult,1964,9,25,-80.63333333,-5.2,6610,,Veniliornis,callonotus,28.1
MVZ,156931,Female,Adult,1967,8,25,-110.7682,45.033,4746,,Sphyrapicus,nuchalis,50
MVZ,162349,Female,Adult,1969,8,14,-77.15,18.15,3153,,Melanerpes,radiolatus,93.5
MVZ,171809,Female,Adult,1976,6,20,-121.5568207,36.37851365,2707,,Melanerpes,formicivorus,61.3
MVZ,173733,Female,Adult,1993,6,30,-118.55889,41.32083,9682,,Picoides,pubescens,28.8
MVZ,177283,Female,Adult,1997,2,8,-70.43302,18.61388,7577,,Melanerpes,striatus,83
MVZ,27205,Female,Adult,1916,9,11,-118.5934098,36.7931105,4359,,Picoides,albolarvatus,57.5
MVZ,29136,Female,Adult,1918,5,3,-119.10985,35.19094,805,,Picoides,nuttallii,37.7
MVZ,29692,Female,Adult,1918,11,11,-120.6973,35.723588,805,,Picoides,villosus,61.8
MVZ,29705,Female,Adult,1918,11,11,-120.6973,35.723588,805,,Melanerpes,lewis,100
MVZ,30336,Female,Adult,1919,2,11,-121.897276,36.585478,161,,Colaptes,auratus,155.1
MVZ,39779,Female,Adult,1919,8,7,-131.9167,57.1833,7585,,Picoides,villosus,78
MVZ,40715,Female,Adult,1920,7,14,-120.11166,37.75634,577,,Sphyrapicus,ruber,52
MVZ,44394,Female,Adult,1923,9,27,-121.4270138,40.4592417,585,,Picoides,arcticus,71.3
MVZ,46225,Female,Adult,1925,10,3,-115.45,30.88333,7440,,Picoides,villosus,52
MVZ,51744,Female,Adult,1927,12,21,-121.7264709,40.3462883,3338,,Picoides,pubescens,26
MVZ,55107,Female,Adult,1929,4,20,-109.9,22.8833,5615,,Picoides,scalaris,37.7
MVZ,55152,Female,Adult,1929,4,13,-109.9,22.8833,5615,,Melanerpes,uropygialis,57.3
MVZ,63700,Female,Adult,1933,10,17,-118.49432,35.4277106,7938,,Sphyrapicus,thyroideus,50.6
MVZ,63710,Female,Adult,1933,10,15,-118.49432,35.4277106,1610,,Picoides,nuttallii,38.4
MVZ,63712,Female,Adult,1933,11,18,-118.5536,35.3819,1000,,Picoides,nuttallii,36
MVZ,65799,Female,Adult,1934,9,14,-115.43306,41.87417,6464,,Picoides,villosus,55
MVZ,72720,Female,Adult,1937,12,31,-115.3861,35.1303,1000,,Picoides,scalaris,29.2
MVZ,79657,Female,Adult,1940,5,28,-114.223289,46.750939,7983,,Picoides,villosus,68.3
MVZ,93829,Female,Adult,1944,1,19,-75.2225,3.2228,1044,,Melanerpes,rubricapillus,44
MVZ,115401,Female,Adult,1948,4,8,-92.6813888888,16.7777777777,4408,,Colaptes,auratus,115.5
MVZ,115408,Female,Adult,1948,3,6,-100.9836228819,19.6181408867,16320,,Sphyrapicus,varius,42.3
MVZ,115409,Female,Adult,1948,3,28,-100.601731,19.636886,5020,,Sphyrapicus,varius,47
MVZ,115415,Female,Adult,1948,3,7,-100.9836228819,19.6181408867,16320,,Picoides,villosus,48.5
MVZ,115418,Female,Adult,1948,4,7,-92.6813888888,16.7777777777,4408,,Picoides,villosus,46.1
MVZ,117131,Female,Adult,1949,6,29,-120.7617707,41.8993424,2048,,Sphyrapicus,"nuchalis,  ruber",42.8
MVZ,117142,Female,Adult,1949,7,2,-120.7617707,41.8993424,2048,,Sphyrapicus,ruber,48.5
MVZ,117143,Female,Adult,1949,6,2,-120.7617707,41.8993424,2048,,Sphyrapicus,nuchalis,40
MVZ,117146,Female,Adult,1949,7,3,-120.7617707,41.8993424,2048,,Sphyrapicus,ruber,45.5
MVZ,117149,Female,Adult,1949,7,2,-120.7617707,41.8993424,2048,,Sphyrapicus,ruber,46.2
MVZ,124380,Female,Adult,1951,7,17,-83.5927,31.5136,7849,,Picoides,pubescens,21.7
MVZ,124383,Female,Adult,1951,8,1,-83.8356,31.6176,9724,,Picoides,borealis,39
MVZ,125542,Female,Adult,1952,4,17,-83.4478,31.4765,5957,,Picoides,pubescens,23.7
MVZ,125829,Female,Adult,1952,9,8,-105.822524,36.058436,6438,,Picoides,villosus,60.3
MVZ,131151,Female,Adult,1953,8,9,-119.727378,38.281783,30,,Sphyrapicus,ruber,39.4
MVZ,139458,Female,Adult,1959,6,24,-106.81667,29.44306,124,,Picoides,villosus,49.8
MVZ,152837,Female,Adult,1964,5,13,-61.2833,10.7167,3342,,Celeus,elegans,120.3
MVZ,156463,Female,Adult,1964,9,25,-80.63333333,-5.2,6610,,Piculus,rubiginosus,59.5
MVZ,157771,Female,Adult,1967,8,28,-77.87152,-5.78812,5437,,Piculus,rubiginosus,78
MVZ,177284,Female,Adult,1997,2,8,-70.43302,18.61388,7577,,Melanerpes,striatus,82.2
MVZ,25551,Female,Adult,1915,6,24,-119.56902,37.77432,646,,Picoides,albolarvatus,58.8
MVZ,25555,Female,Adult,1915,6,11,-119.83936,37.74886,147,,Sphyrapicus,ruber,50.6
MVZ,25892,Female,Adult,1915,10,28,-119.881282,37.588966,403,,Picoides,villosus,58.3
MVZ,29130,Female,Adult,1915,2,18,-117.3337847,34.5994126,2027,,Picoides,villosus,56
MVZ,30335,Female,Adult,1919,2,2,-121.835607,36.60922,805,,Colaptes,auratus,157.2
MVZ,31057,Female,Adult,1919,6,8,-121.420517,36.144555,805,,Picoides,villosus,56.5
MVZ,40716,Female,Adult,1920,7,20,-120.11166,37.75634,577,,Melanerpes,formicivorus,75.7
MVZ,45205,Female,Adult,1924,6,14,-121.7648069,40.3091119,590,,Picoides,villosus,58.4
MVZ,52175,Female,Adult,1927,2,24,-115.14084,32.4169,10593,,Melanerpes,uropygialis,56.8
MVZ,54486,Female,Adult,1929,7,1,-119.04701,34.827853,1610,,Picoides,villosus,58.8
MVZ,55135,Female,Adult,1929,7,14,-109.716873,23.387557,66880,,Melanerpes,formicivorus,60.8
MVZ,55138,Female,Adult,1929,7,22,-109.716873,23.387557,66880,,Melanerpes,formicivorus,61
MVZ,55142,Female,Adult,1929,8,3,-109.716873,23.387557,66880,,Melanerpes,formicivorus,65.1
MVZ,60977,Female,Adult,1932,7,16,-123.5681168,40.623889,6168,,Picoides,albolarvatus,59
MVZ,63691,Female,Adult,1933,10,13,-118.49432,35.4277106,7938,,Colaptes,auratus,151
MVZ,63702,Female,Adult,1933,10,8,-118.49432,35.4277106,1610,,Picoides,villosus,67
MVZ,63706,Female,Adult,1933,10,19,-118.49432,35.4277106,7938,,Picoides,pubescens,24.5
MVZ,65794,Female,Adult,1934,9,12,-115.43306,41.87417,6464,,Picoides,villosus,66
MVZ,65797,Female,Adult,1934,9,13,-115.43306,41.87417,6464,,Picoides,villosus,64.5
MVZ,72721,Female,Adult,1937,12,31,-115.3861,35.1303,1000,,Picoides,scalaris,30
MVZ,72722,Female,Adult,1937,12,31,-115.3861,35.1303,1000,,Picoides,scalaris,31.2
MVZ,87475,Female,Adult,1942,8,31,-123.4568,40.45807,2939,,Picoides,villosus,66.5
MVZ,115780,Female,Adult,1948,5,21,-121.121,41.559333,,,Picoides,albolarvatus,61.1
MVZ,27047,Female,Adult,1916,8,10,-120.7411667,39.0428333,,,Picoides,pubescens,27
MVZ,49847,Female,Adult,1926,10,8,-115.9072222,32.053333,,,Melanerpes,formicivorus,75
MVZ,55163,Female,Adult,1929,6,18,-109.7747222,23.441944,,,Melanerpes,uropygialis,50
MVZ,93823,Female,Adult,1945,1,21,-75.1666667,3.3333333,,,Picumnus,olivaceus,12
MVZ,115754,Female,Adult,1948,5,23,-121.121,41.559333,,,Sphyrapicus,"nuchalis,  ruber",49.4
MVZ,47965,Female,Adult,1926,5,19,-115.2111111,30.85,,,Melanerpes,uropygialis,62
MVZ,49856,Female,Adult,1926,10,20,-115.9072222,32.053333,,,Melanerpes,formicivorus,71.4
MVZ,52151,Female,Adult,1928,2,25,-115.2425,30.194167,,,Picoides,scalaris,28.8
MVZ,52181,Female,Adult,1927,11,9,-115.8008333,32.368333,,,Melanerpes,uropygialis,54.5
MVZ,55158,Female,Adult,1929,6,3,-109.7747222,23.441944,,,Melanerpes,uropygialis,59.7
MVZ,150313,Female,Adult,1963,6,26,-114.45813,37.45917,3528,,Picoides,villosus,56.9
MVZ,150321,Female,Adult,1963,6,18,-115.69417,36.31573,7140,,Picoides,villosus,53.4
MVZ,152554,Female,Adult,1964,6,20,-122.0921,42.2089,8464,,Sphyrapicus,ruber,53.3
MVZ,160869,Female,Adult,1970,8,2,-81.15,-4.533333333,6611,,Piculus,rubiginosus,52
MVZ,160881,Female,Adult,1970,8,22,-78.78109,-5.77639,3404,,Dryocopus,lineatus,200
MVZ,161508,Female,Adult,1972,3,8,-78.40591,-5.81164,2952,,Veniliornis,passerinus,34
MVZ,161515,Female,Adult,1972,3,5,-78.77958,-5.73186,2979,,Veniliornis,callonotus,24.5
MVZ,164004,Female,Adult,1975,3,20,-121.6092705,39.0363928,10326,,Colaptes,auratus,175
MVZ,169481,Female,Adult,1982,12,2,-69.07289,-12.6,11671,,Piculus,leucolaemus,63.5
MVZ,169593,Female,Adult,1983,6,9,-69.07482,-2.5785,5114,,Melanerpes,cruentatus,56
MVZ,152835,Female,Adult,1964,5,28,-61.2167,10.6167,3593,,Piculus,rubiginosus,53.3
MVZ,160860,Female,Adult,1970,9,9,-79.11666667,-6,6608,,Colaptes,atricollis,72
MVZ,160870,Female,Adult,1970,8,23,-78.78109,-5.77639,3404,,Veniliornis,callonotus,29
MVZ,160873,Female,Adult,1970,8,2,-81.15,-4.533333333,6611,,Veniliornis,callonotus,25
MVZ,160875,Female,Adult,1970,8,2,-81.15,-4.533333333,6611,,Veniliornis,callonotus,25
MVZ,161510,Female,Adult,1972,2,21,-81.15,-4.533333333,6611,,Veniliornis,callonotus,24
MVZ,161511,Female,Adult,1972,2,22,-81.15,-4.533333333,6611,,Veniliornis,callonotus,25
MVZ,163771,Female,Adult,1974,10,27,-81.15,-4.533333333,6611,,Veniliornis,callonotus,24
MVZ,165059,Female,Adult,1975,6,18,-121.5481,44.1752,11298,,Sphyrapicus,nuchalis,32.6
MVZ,169588,Female,Adult,1983,5,30,-69.07482,-2.5785,5114,,Celeus,spectabilis,116
MVZ,169589,Female,Adult,1983,6,4,-69.07482,-2.5785,5114,,Celeus,spectabilis,120
CAS,90264,Female,Adult,2002,9,26,-122.53653,37.89686,,,Colaptes,auratus,107
CAS,90344,Female,Adult,2002,12,5,-121.96163,37.94042,,,Colaptes,auratus,121.8
CAS,90365,Female,Adult,2002,8,30,-122.13595,37.88792,,,Colaptes,auratus,139
CAS,90546,Female,Adult,1999,7,3,-122.50322,39.34279,,,Melanerpes,formicivorus,66.4
CAS,90610,Female,Adult,2000,10,24,-120.7327,35.5735,,,Colaptes,auratus,135
CAS,90930,Female,Adult,2003,7,14,-122.57296,38.12902,,,Melanerpes,formicivorus,56.3
CAS,91303,Female,Adult,2003,11,11,-122.10503,37.91105,,,Melanerpes,formicivorus,72.6
CAS,91326,Female,Adult,2004,2,28,-122.56404,38.09974,,,Sphyrapicus,ruber,45.9
CAS,91327,Female,Adult,2004,3,9,-122.54387,37.98539,,,Colaptes,auratus,124
CAS,96499,Female,Adult,2006,4,18,98.62166,25.80952,,,Dendrocopos,darjellensis,60
CAS,90343,Female,Adult,2002,11,17,-122.12006,37.86381,,,Colaptes,auratus,106.7
CAS,90363,Female,Adult,2002,8,24,-122.19026,37.89498,,,Melanerpes,formicivorus,69.8
CAS,90788,Female,Adult,2003,3,18,-122.00694,37.95676,,,Colaptes,auratus,141
CAS,91300,Female,Adult,2003,11,11,-122.12643,37.82923,,,Colaptes,auratus,105.2
CAS,91301,Female,Adult,2003,11,20,-122.06711,37.9216,,,Colaptes,auratus,159.3
CAS,91302,Female,Adult,2003,10,25,-122.03958,38.00485,,,Colaptes,auratus,97.4
CAS,91328,Female,Adult,2004,3,2,-122.49957,37.88104,,,Colaptes,auratus,128
CAS,92162,Female,Adult,2004,2,16,-122.74045,38.80694,,,Sphyrapicus,ruber,59.3
CAS,92716,Female,Adult,2004,6,13,-85.47303,38.71571,,,Colaptes,auratus,120
CAS,92902,Female,Adult,2000,1,10,-85.47356,38.64174,,,Picoides,villosus,61.2
CAS,95756,Female,Adult,2004,11,19,-86.41809,38.73135,,,Picoides,villosus,73.6
CAS,97334,Female,Adult,2010,6,19,-123.23675,39.66688,,,Melanerpes,formicivorus,86.8
CUMV,55468,Female,Adult,2013,4,24,-73.65222,43.19611,3036,,Picoides,pubescens,29.4
CUMV,55604,Female,Adult,2014,6,20,-76.451,42.4799,388,,Colaptes,auratus,135.4
DMNS,13740,Female,Adult,1900,3,10,-107.19861,37.03806,3036,,Picoides,pubescens,4.25
DMNS,13758,Female,Adult,1900,5,26,-106.447811,37.019733,3036,,Picoides,tridactylus,4.75
DMNS,34788,Female,Adult,1996,8,1,-105.06095,40.53664,20,,Colaptes,auratus,73.8
DMNS,34879,Female,Adult,2008,5,13,-105.15528,40.61139,873,,Picoides,pubescens,28.5
DMNS,35001,Female,Adult,2013,5,8,-105.401172,40.703118,30,,Colaptes,auratus,133.4
DMNS,35129,Female,Adult,2014,11,22,-105.14152,40.020706,85,,Picoides,pubescens,20.8
DMNS,40908,Female,Adult,1988,5,1,-104.989535,39.74721,100,,Sphyrapicus,nuchalis,46.4
DMNS,45587,Female,Adult,2013,7,6,-105.2447,40.029225,70,,Colaptes,auratus,136.8
