Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
MVZ,61882,Male,Adult,1932,3,27,-123.4853,40.3329,Picoides,pubescens,28.9,5,157,30,1451,740,38,-0.996485467152444,-0.64523840582915,-1.61273826790544,-0.53933954877736,-0.0131615484302951
MVZ,61887,Male,Adult,1932,4,20,-123.4644508,40.4048454,Picoides,pubescens,26.9,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
MVZ,61889,Male,Adult,1932,4,29,-123.4644508,40.4048454,Picoides,pubescens,26.8,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
MVZ,61891,Male,Adult,1932,5,19,-123.50169,40.47157,Picoides,pubescens,28.8,5,170,37,1437,738,37,-1.09283271576668,-0.390000342415341,-1.49882648781231,-0.607307884840435,0.00246255695458278
MVZ,83454,Male,Adult,1941,5,24,-123.9214,46.0368,Picoides,pubescens,30,5,152,67,1958,882,148,-2.41249883613961,-1.43134029519614,-1.16223776519465,-0.160400134403936,0.0112493911125061
MVZ,84408,Male,Adult,1941,12,28,-124.1530252,41.104244,Picoides,pubescens,27.1,5,144,76,1475,720,48,-1.18688656395751,-0.650939717219939,-1.7859541562997,0.029112975623525,-0.0893990277275842
MVZ,84413,Male,Adult,1942,1,8,-123.61833,40.91792,Picoides,pubescens,26.3,5,188,54,1290,657,38,-0.990721270174054,0.108532387260274,-1.19708921896139,-0.466568744303424,0.000794151512602509
MVZ,84414,Male,Adult,1942,1,10,-123.63744,41.00125,Picoides,pubescens,25,5,193,65,1294,660,36,-1.0823593061326,0.252171280617861,-1.20113575739903,-0.439865433132435,-0.00457989078823112
MVZ,88426,Male,Adult,1943,6,18,-123.14392,40.55443,Picoides,pubescens,29.8,5,196,40,949,495,32,-0.276206299741794,0.471820711746213,-0.801701090674398,-0.312800407092113,0.0340029513400336
MVZ,95564,Male,Adult,1946,6,8,-123.49373,40.61736,Picoides,pubescens,27.9,5,190,48,1264,653,33,-0.916429867400831,0.148702446361122,-1.18837946969296,-0.539529078542551,0.0124628516424667
MVZ,162577,Male,Adult,1971,3,24,-122.544243,41.7181125,Picoides,pubescens,27.7,5,200,27,538,263,41,0.60662485404785,0.785371915165345,-0.199720829079523,0.0784984926982398,0.0298955217885426
MVZ,31285,Male,Adult,1919,10,9,-123.4851937,39.6863371,Picoides,pubescens,28.8,5,179,56,1408,743,23,-1.17381684840111,-0.0649018180809232,-1.5859656727142,-0.591712452514113,0.00580504081554495
MVZ,61884,Male,Adult,1932,4,6,-123.4644508,40.4048454,Picoides,pubescens,29.6,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
MVZ,61886,Male,Adult,1932,4,18,-123.4644508,40.4048454,Picoides,pubescens,28.7,5,168,35,1411,724,37,-1.01568666566836,-0.409476302947755,-1.48711528254935,-0.572912345691392,0.00105677436652776
MVZ,79678,Male,Adult,1940,5,8,-122.3176413,41.3106733,Picoides,pubescens,31,5,172,17,963,461,44,0.0024466934149911,-0.0728242572972461,-0.828884165343153,-0.17083012542681,-0.0355478996507815
MVZ,84410,Male,Adult,1942,1,3,-124.130089,41.1633994,Picoides,pubescens,27.5,5,145,80,1460,710,48,-1.17940586378831,-0.599333071110713,-1.76939109216563,0.0726516293691602,-0.0956393218732773
